condition,calibrator,episode,coverage_certified,coverage_allk,steps,success
speed_mid,online cp,26,0.9750499001996008,0.9612025948103793,167,1
speed_mid,online cp,27,0.982484076433121,0.9660297239915074,157,1
speed_mid,online cp,28,0.9841628959276019,0.9701168929110106,221,1
speed_mid,online cp,29,0.982421875,0.9695638020833334,128,1
speed_mid,online cp,30,0.9715956558061821,0.9492068464812826,133,1
speed_mid,online cp,31,0.9761904761904762,0.9542278314834706,133,1
speed_mid,online cp,32,0.9790528233151184,0.960724043715847,183,1
speed_mid,online cp,33,0.9788461538461538,0.9690705128205128,130,1
speed_mid,online cp,34,0.9766666666666667,0.963028638028638,125,1
speed_mid,online cp,35,0.9786910197869102,0.9661339421613394,219,1
speed_mid,online cp,36,0.9853896103896104,0.9659090909090909,154,1
speed_mid,online cp,37,0.9917302798982188,0.9910941475826972,131,1
speed_mid,online cp,38,0.9726190476190476,0.9467261904761904,140,1
speed_mid,online cp,39,0.981215027977618,0.9707596427020887,139,1
speed_mid,aci,0,0.972367655613729,0.9433727824434631,191,1
speed_mid,aci,1,0.9865424430641822,0.9698498964803313,161,1
speed_mid,aci,2,0.9869791666666666,0.9749990316396566,128,1
speed_mid,aci,3,0.9796006944444444,0.9594577369967995,128,1
speed_mid,aci,4,0.9938556067588326,0.9792626728110599,217,1
speed_mid,aci,5,0.9770655270655271,0.9521819040408784,195,1
speed_mid,aci,6,0.9910436137071651,0.9810163551401869,214,1
speed_mid,aci,7,0.9769736842105263,0.9646381578947368,152,1
speed_mid,aci,8,0.9831649831649831,0.9732884399551066,198,1
speed_mid,aci,9,0.9865702479338843,0.9733126721763086,242,1
speed_mid,aci,10,0.9685863874345549,0.9487347294938918,191,1
speed_mid,aci,11,0.9892384105960265,0.9795805739514348,302,1
speed_mid,aci,12,0.9937810945273632,0.9795356062768998,201,1
speed_mid,aci,13,0.9724426807760141,0.943918100564926,126,1
speed_mid,aci,14,0.9873417721518988,0.9766613924050633,158,1
speed_mid,aci,15,0.9835858585858586,0.9608585858585859,132,1
speed_mid,aci,16,0.9902699309478971,0.9782927263153252,177,1
speed_mid,aci,17,0.9797242497972425,0.9677108678021087,137,1
speed_mid,aci,18,0.9830074487895717,0.9643413448231883,358,1
speed_mid,aci,19,0.9765114379084967,0.9505996148459384,136,1
speed_mid,aci,20,0.9953379953379954,0.9975233100233101,143,1
speed_mid,aci,21,0.9807692307692307,0.9686771561771562,143,1
speed_mid,aci,22,0.9871794871794872,0.9693047337278107,169,1
speed_mid,aci,23,0.9893998695368559,0.982795172863666,511,1
speed_mid,aci,24,0.9923423423423423,0.9837837837837838,185,1
speed_mid,aci,25,0.9893518518518518,0.9802083333333333,180,1
speed_mid,aci,26,0.9835271317829457,0.9657218992248062,172,1
speed_mid,aci,27,0.9831349206349206,0.9711061507936508,168,1
speed_mid,aci,28,0.9841849148418491,0.9690541362530414,274,1
speed_mid,aci,29,0.9827823691460055,0.9824380165289256,121,1
speed_mid,aci,30,0.9777021919879063,0.9529898263741801,147,1
speed_mid,aci,31,0.984704641350211,0.9555643459915611,158,1
speed_mid,aci,32,0.9903198653198653,0.9812710437710438,198,1
